time (milliseconds),x,y,z
1682889337919,1.8011320334127583,0.22401690117651546,20.0
1682889337924,1.9454037049280144,0.1654226143886728,20.0
1682889337929,2.063088178079286,0.12281052736344415,20.0
1682889337934,2.1920983297503223,0.05907189125621326,20.0
1682889337939,2.286252050768472,-0.009702776966976337,20.0
1682889337944,2.3975489707308673,-0.04737689711538752,20.0
1682889337949,2.462000076574153,-0.0735111868792204,20.0
1682889337954,2.510819369442916,-0.08988089118949569,20.0
1682889337959,2.5606845913512677,-0.09980935405200773,20.0
1682889337964,2.6143459949654684,-0.09909717291680112,20.0
1682889337969,2.677100369571819,-0.10335500183121171,20.0
1682889337974,2.732960629968944,-0.10690577818060336,20.0
1682889337979,2.7774384364768228,-0.10447449269597298,20.0
1682889337984,2.6771083146094625,-0.029339389542949214,20.0
1682889337989,2.7363795193430556,-0.02517236611157596,20.0
1682889337994,2.809167921363575,-0.025225214308290892,20.0
1682889337999,2.8778395744616363,-0.027480160233581366,20.0
1682889338004,2.946239950188109,-0.03206236190037217,20.0
1682889338009,3.032287885392824,-0.03906143325724007,20.0
1682889338014,3.1285387790465813,-0.05184304977216184,20.0
1682889338019,3.2469566556441682,-0.06127212604551645,20.0
1682889338024,3.3675553437243306,-0.08684629503807892,20.0
1682889338029,3.4427844743696805,-0.1028114862307495,20.0
1682889338034,3.5200630352359656,-0.11709444928445667,20.0
1682889338039,3.606575701040943,-0.12630727521776067,20.0
1682889338044,3.7119896825324172,-0.13551847207092851,20.0
1682889338049,3.8041907073141927,-0.13762719317890315,20.0
1682889338054,3.8943864800349655,-0.14167518218800845,20.0
1682889338059,3.970376230840285,-0.1467118798899712,20.0
1682889338064,4.05033482063144,-0.15094732352662088,20.0
1682889338069,4.129821884978316,-0.15539496646111398,20.0
1682889338074,4.234004471071432,-0.15633417119072177,20.0
1682889338079,4.172863241533107,-0.12642749368935163,20.0
1682889338084,4.251370220840443,-0.12497354637996907,20.0
1682889338089,4.342903455559103,-0.12457941400397869,20.0
1682889338094,4.436029074341156,-0.12369706306542547,20.0
1682889338099,4.521197084183438,-0.12442457733988127,20.0
1682889338104,4.585882442260952,-0.12500423212785233,20.0
1682889338109,4.612894717666992,-0.12670374251205102,20.0
1682889338114,4.679700353914317,-0.12700245049204975,20.0
1682889338119,4.752254613555022,-0.1260568982849108,20.0
1682889338124,4.816758127311161,-0.12240468635084886,20.0
1682889338129,4.8620589225086785,-0.11678705915406569,20.0
1682889338134,4.916011039255261,-0.11183424640606335,20.0
1682889338139,4.987008864478907,-0.1081340689308311,20.0
1682889338144,5.03626323198053,-0.10262809175891888,20.0
1682889338149,5.115612216775616,-0.09981430616670743,20.0
1682889338154,5.187911822256016,-0.09638887798387114,20.0
1682889338159,5.255138756772406,-0.09162909963191199,20.0
1682889338164,5.327674600069958,-0.08871006132709093,20.0
1682889338169,5.371617318912987,-0.08407842487561673,20.0
1682889338174,5.412678564583686,-0.08126249006751501,20.0
1682889338179,5.460904611793146,-0.07832657288071991,20.0
1682889338184,5.5212794210404015,-0.07641586163396741,20.0
1682889338189,5.5814590905834685,-0.07481397731909313,20.0
1682889338194,5.642318846000787,-0.07574600463203962,20.0
1682889338199,5.7003995033763335,-0.07619887407013042,20.0
1682889338204,5.761208008991384,-0.07657245140074095,20.0
1682889338209,5.8175770180494215,-0.07585943301218397,20.0
1682889338214,5.870409394756097,-0.07453773472820616,20.0
1682889338219,5.923802173504933,-0.07359045493418993,20.0
1682889338224,5.974248532863545,-0.07368296911055472,20.0
1682889338229,6.023429495849134,-0.07404614672834045,20.0
1682889338234,6.067208607517157,-0.07482253161408711,20.0
1682889338240,6.126584237840145,-0.07618147171224236,20.0
1682889338245,6.180732689910416,-0.0778094453591177,20.0
1682889338250,6.229908268796099,-0.07960232354992847,20.0
1682889338255,6.280338762761252,-0.08150430790516319,20.0
1682889338260,6.343347702521095,-0.08235443460271066,20.0
1682889338265,6.40072994003614,-0.08305272850787532,20.0
1682889338270,6.4491203442971585,-0.08420402296435146,20.0
1682889338275,6.493480823074344,-0.08648778226022667,20.0
1682889338280,6.534804500188315,-0.08847621031457975,20.0
1682889338285,6.580376609253424,-0.09080984569906,20.0
1682889338290,6.628572030572632,-0.09441485859368004,20.0
1682889338295,6.692045120219,-0.0990603293645228,20.0
1682889338300,6.754780391213115,-0.10337635579874438,20.0
1682889338305,6.8198175544177655,-0.10836008173494463,20.0
1682889338310,6.883726439538638,-0.11373322926647672,20.0
1682889338315,6.938549555700215,-0.11800009526380134,20.0
1682889338320,6.995880937044446,-0.11982150727192596,20.0
1682889338325,7.046838685598927,-0.12082888018050114,20.0
1682889338330,7.0916053131654575,-0.12178391471942909,20.0
1682889338335,7.126632751855688,-0.12221221952338082,20.0
1682889338340,7.164261229709934,-0.11529526486362462,20.0
1682889338345,7.189053801170834,-0.11091995124537876,20.0
1682889338350,7.222890874526332,-0.10715212241582422,20.0
1682889338355,7.267600778414635,-0.106249980050199,20.0
1682889338360,7.2073573618262445,-0.06839064087791727,20.0
1682889338365,7.137971418894025,0.06438659136493416,20.0
1682889338370,7.080787911838412,0.3422234765135135,20.0
1682889338375,7.048648052348923,0.6102565788845623,20.0
1682889338380,7.016023811897888,0.9267207087561338,20.0
1682889338385,6.940165974135857,1.225010841226135,20.0
1682889338390,6.8515286665373925,1.4757171270203058,20.0
1682889338395,6.754473545178016,1.6644626716654471,20.0
1682889338400,6.6443504554728126,1.8148473666341969,20.0
1682889338405,6.5929857984249605,1.9011482416921368,20.0
1682889338410,6.527212832091216,1.9724839461511967,20.0
1682889338415,6.487289827425581,2.050021019898133,20.0
1682889338420,6.448985195041077,2.1107098354769898,20.0
1682889338425,6.41761058611512,2.15605313750062,20.0
1682889338430,6.3434822411691005,2.169471432729911,20.0
1682889338435,6.310219066607762,2.2046048587512246,20.0
1682889338440,6.28254955100251,2.2332973882355174,20.0
1682889338445,6.341989651263193,2.33764917739998,20.0
1682889338450,6.269047124328532,2.383649981173051,20.0
1682889338455,6.097034830232781,2.6555114936290525,20.0
1682889338460,6.015513910131476,2.8714542156241665,20.0
1682889338465,5.978099698054422,3.323515081954392,20.0
1682889338470,5.972722678445237,3.6501773036495844,20.0
1682889338475,5.974993603483951,3.892330444549903,20.0
1682889338480,5.899975167829393,3.9561892593433696,20.0
1682889338485,5.8519995035320305,3.9871894290512264,20.0
1682889338490,5.873220748786036,4.11263978787618,20.0
1682889338495,5.888925996753889,4.221305634321135,20.0
1682889338500,5.903216328199189,4.299928033964562,20.0
1682889338505,5.909884148329346,4.370912856616245,20.0
1682889338510,5.913210363578206,4.444887514660412,20.0
1682889338515,5.918102321412375,4.520175639842287,20.0
1682889338520,5.918767417277939,4.580757444718494,20.0
1682889338525,5.9225126549415705,4.6364628984249965,20.0
1682889338530,5.88597638933059,4.573729448451177,20.0
1682889338535,5.845280271054312,4.526683774589085,20.0
1682889338540,5.806582183558495,4.486438639677805,20.0
1682889338545,5.765406157992553,4.469047178065743,20.0
1682889338550,5.726783955200858,4.458723130833665,20.0
1682889338555,5.694992456308791,4.44508947700264,20.0
1682889338560,5.7224161416652475,4.500638515239231,20.0
1682889338565,5.691828414683306,4.484124071870045,20.0
1682889338570,5.711926045046876,4.522652748672572,20.0
1682889338575,5.728863920764664,4.5675124470832555,20.0
1682889338580,5.740360075233239,4.6122451154340025,20.0
1682889338585,5.709779045419979,4.596549674841254,20.0
1682889338590,5.718447357120862,4.6301183906711,20.0
1682889338595,5.729388898306801,4.6764094083880545,20.0
1682889338600,5.743215271879921,4.729400417390414,20.0
1682889338605,5.722701092734759,4.7042513961774,20.0
1682889338610,5.7288822450488635,4.751192103362217,20.0
1682889338615,5.734330990802845,4.8072056835726045,20.0
1682889338620,5.705303529105436,4.791242704832925,20.0
1682889338625,5.706757429072297,4.8334824450333,20.0
1682889338630,5.709777966728122,4.879305593238806,20.0
1682889338635,5.686577475752622,4.873693663487073,20.0
1682889338640,5.666157052322304,4.881215729147093,20.0
1682889338645,5.678026951827776,4.943348164104405,20.0
1682889338650,5.674333789747882,4.980925719868356,20.0
1682889338655,5.659678881042353,4.980400287262966,20.0
1682889338660,5.684757232604766,5.099897560176706,20.0
1682889338665,5.69854572819718,5.21520349728463,20.0
1682889338670,5.698604635201969,5.2454220624632715,20.0
1682889338675,5.697881573626873,5.262505322611958,20.0
1682889338680,5.714693730297121,5.338309697037374,20.0
1682889338685,5.7417857384745545,5.41597818059066,20.0
1682889338690,5.747166491353739,5.448338614231968,20.0
1682889338695,5.7687154029828225,5.617321281309121,20.0
1682889338700,5.840787623066104,5.838537271448664,20.0
1682889338705,5.856391785643079,5.946090031987101,20.0
1682889338710,5.93681966963538,6.145347383072891,20.0
1682889338715,5.942032771468315,6.212428950524966,20.0
1682889338720,6.004984667181218,6.376269228795788,20.0
1682889338725,5.98668988748096,6.406804644890784,20.0
1682889338730,5.974875744169533,6.449789720902289,20.0
1682889338735,5.963866479035741,6.474381386079767,20.0
1682889338740,5.917899044990747,6.277859881879001,20.0
1682889338745,5.9162882979129305,6.352801382295068,20.0
1682889338750,5.914935361830799,6.42761037920841,20.0
1682889338755,5.91337667557979,6.501926807528967,20.0
1682889338760,5.911205425326865,6.570260628661828,20.0
1682889338765,5.9087134205386596,6.6310186172977295,20.0
1682889338770,5.9059926483872776,6.685894298394011,20.0
1682889338775,5.903189014897116,6.730774919554259,20.0
1682889338780,5.901510666754369,6.774956697143109,20.0
1682889338785,5.901726031334715,6.8264961662642225,20.0
1682889338790,5.900271141879295,6.841817078536777,20.0
1682889338795,5.911984907682544,6.883322242500512,20.0
1682889338800,5.905532725708165,6.856000737579685,20.0
1682889338805,5.827717127129889,6.741877849157241,20.0
1682889338810,5.852724478768202,6.803338163308702,20.0
1682889338815,5.86689171837515,6.880656015487303,20.0
1682889338820,5.868663650115151,6.8963987995266605,20.0
1682889338825,5.8711615010843605,6.917154857660527,20.0
1682889338830,5.8941992390822815,6.972785264446938,20.0
1682889338835,5.89217976268336,6.969634681864898,20.0
1682889338840,5.8898497451416425,6.9741821943211155,20.0
1682889338845,5.883593091341973,6.976720157140863,20.0
1682889338850,5.885506514982096,6.993256875337403,20.0
1682889338855,5.887735552314775,7.012117732714799,20.0
1682889338860,5.888226363616361,7.0318598869062034,20.0
1682889338865,5.887881218932164,7.053550303346441,20.0
1682889338870,5.839106476725213,6.987655270545706,20.0
1682889338875,5.825264053073211,6.996601617994615,20.0
1682889338880,5.727435158058914,6.957904700691114,20.0
1682889338885,5.721421739397502,6.966233469932169,20.0
1682889338890,5.760620169342784,7.025649643422398,20.0
1682889338895,5.616635323101741,6.991236952967119,20.0
1682889338900,5.629447250172931,6.999531911674913,20.0
1682889338905,5.638685851255836,7.010094497479117,20.0
1682889338910,5.647382194933082,7.0229610471659,20.0
1682889338915,5.654837662052682,7.03844060774693,20.0
1682889338920,5.661480777378488,7.060880598685929,20.0
1682889338925,5.66713263368733,7.0871058177062345,20.0
1682889338930,5.673272712288124,7.128881074695751,20.0
1682889338935,5.676163238367616,7.195248047519525,20.0
1682889338940,5.680035603496897,7.289771926113931,20.0
1682889338945,5.691403290474215,7.54583713535186,20.0
1682889338950,5.705217161546164,7.774785236434204,20.0
1682889338955,5.7229570493658315,7.963865512525226,20.0
1682889338960,5.744438513780604,8.109619511933662,20.0
1682889338965,5.766791806773232,8.221760950691815,20.0
1682889338970,5.788105005940771,8.310511803080233,20.0
1682889338975,5.80548982276844,8.388279457393926,20.0
1682889338980,5.8000395081238585,8.382299462599725,20.0
1682889338985,5.795371137283421,8.38133460827952,20.0
1682889338995,5.788760272712175,8.373915502313746,20.0
1682889339000,5.778692569992821,8.359004845656857,20.0
1682889339005,5.772818225867235,8.359811029556916,20.0
1682889339010,5.77028178070954,8.394279769673533,20.0
1682889339015,5.76790253190706,8.420903726457036,20.0
1682889339020,5.7632405399852,8.430447655950875,20.0
1682889339025,5.75917500213346,8.436240977708708,20.0
1682889339030,5.754127591534619,8.43836459343897,20.0
1682889339035,5.748137570556776,8.430350302883342,20.0
1682889339040,5.753931399424342,8.44741869081002,20.0
1682889339045,5.756165417927017,8.479039601601864,20.0
1682889339050,5.745667309544605,8.431093438828182,20.0
1682889339055,5.751535293205611,8.475874605924558,20.0
1682889339065,5.743475442544238,8.476066043766297,20.0
1682889339075,5.700351466238144,8.439184670146915,20.0
1682889339080,5.637034222833378,8.403080133453024,20.0
1682889339085,5.554959869541031,8.380018825667824,20.0
1682889339090,5.478848692778674,8.35859237969394,20.0
1682889339095,5.405610006096376,8.333947437177176,20.0
1682889339100,5.367743894000473,8.332418158847506,20.0
1682889339105,5.466346642936914,8.367733648438207,20.0
1682889339125,5.485568236704173,8.361880825029964,20.0
1682889339130,5.4706063232046525,8.377737399714869,20.0
1682889339140,5.504985799654175,8.447906680881944,20.0
1682889339155,5.475847414458076,8.448137462677042,20.0
1682889339160,5.440326252151549,8.449496498206017,20.0
1682889339170,5.467243502190046,8.549994280985285,20.0
1682889339175,5.48882047594436,8.650861778387002,20.0
1682889339195,5.481240500612791,8.644568737650095,20.0
1682889339205,5.588321351885446,8.680682784977648,20.0
1682889339225,5.6032829085433615,8.758495235905517,20.0
1682889339230,5.620343795884878,8.826757888107768,20.0
1682889339240,5.638151683981518,8.984630569975167,20.0
1682889339250,5.6468940858990795,9.027820733736874,20.0
1682889339260,5.673125207579765,9.043370426585627,20.0
1682889339270,5.683496167756515,9.083392703989254,20.0
1682889339285,5.689423057276544,9.11271190096191,20.0
1682889339290,5.667275097191955,9.091245293549767,20.0
1682889339300,5.67093845963615,9.087949323837602,20.0
1682889339305,5.675877757796146,9.094779121022507,20.0
1682889339310,5.735877325403221,9.078646584111778,20.0
1682889339315,5.743347118455613,9.051004952432818,20.0
1682889339320,5.747448687142246,9.072174543737521,20.0
1682889339325,5.75218274538214,9.092370809520618,20.0
1682889339330,5.832340827885918,9.088289041830695,20.0
1682889339335,5.83383482038437,9.03648630542946,20.0
1682889339340,5.838511713638122,9.01059737795196,20.0
1682889339345,5.803414760849915,8.995886089947973,20.0
